LST_DATE,source_file,RH_DAILY_MAX,RH_DAILY_MIN,RH_DAILY_AVG
57140-10-24,CRND0103-2015-AK_Deadhorse_3_S.txt,98.7,69.8,87.7
57140-10-25,CRND0103-2015-AK_Deadhorse_3_S.txt,99.8,75.4,90.8
57140-10-26,CRND0103-2015-AK_Deadhorse_3_S.txt,99.1,72.3,88.5
57140-10-27,CRND0103-2015-AK_Deadhorse_3_S.txt,99.3,74.3,88
57140-10-28,CRND0103-2015-AK_Deadhorse_3_S.txt,95.3,69.5,85.6
57140-10-29,CRND0103-2015-AK_Deadhorse_3_S.txt,99.8,77.4,87.1
57140-10-30,CRND0103-2015-AK_Deadhorse_3_S.txt,100,32,74.3
57141-01-08,CRND0103-2015-AK_Deadhorse_3_S.txt,98.4,64.9,87.1
57141-01-09,CRND0103-2015-AK_Deadhorse_3_S.txt,97.8,80.7,90.6
57141-01-10,CRND0103-2015-AK_Deadhorse_3_S.txt,97.9,83.1,93.6
57141-01-11,CRND0103-2015-AK_Deadhorse_3_S.txt,98.4,77,89.6
57141-01-12,CRND0103-2015-AK_Deadhorse_3_S.txt,97.4,73.6,84.1
57141-01-13,CRND0103-2015-AK_Deadhorse_3_S.txt,97.9,66.4,83.7
57141-01-14,CRND0103-2015-AK_Deadhorse_3_S.txt,99.9,40.4,79.5
57141-01-15,CRND0103-2015-AK_Deadhorse_3_S.txt,99.5,85.1,93.3
57141-01-16,CRND0103-2015-AK_Deadhorse_3_S.txt,100,79.4,94.9
57141-01-17,CRND0103-2015-AK_Deadhorse_3_S.txt,99.7,89.6,95.5
57141-01-18,CRND0103-2015-AK_Deadhorse_3_S.txt,96.7,74.8,86.6
57141-01-19,CRND0103-2015-AK_Deadhorse_3_S.txt,97.6,62,81.6
57141-01-20,CRND0103-2015-AK_Deadhorse_3_S.txt,99.5,85.8,95.9
57141-01-21,CRND0103-2015-AK_Deadhorse_3_S.txt,98.9,54,83.3
57141-01-22,CRND0103-2015-AK_Deadhorse_3_S.txt,98.3,82.4,90.4
57141-01-23,CRND0103-2015-AK_Deadhorse_3_S.txt,100,88.3,96.7
57141-01-24,CRND0103-2015-AK_Deadhorse_3_S.txt,99.3,91.2,96.8
57141-01-25,CRND0103-2015-AK_Deadhorse_3_S.txt,98.4,95.7,97.4
57141-01-26,CRND0103-2015-AK_Deadhorse_3_S.txt,99.7,86.2,94.9
57141-01-27,CRND0103-2015-AK_Deadhorse_3_S.txt,100,88.2,97.2
57141-01-28,CRND0103-2015-AK_Deadhorse_3_S.txt,100,88.1,97.4
57141-01-29,CRND0103-2015-AK_Deadhorse_3_S.txt,100,93.8,98.9
57141-01-30,CRND0103-2015-AK_Deadhorse_3_S.txt,100,90.4,97.3
57141-01-31,CRND0103-2015-AK_Deadhorse_3_S.txt,99.9,82.5,95.1
57141-02-01,CRND0103-2015-AK_Deadhorse_3_S.txt,100,55.5,86.3
57141-02-02,CRND0103-2015-AK_Deadhorse_3_S.txt,98.3,76.8,92.9
57141-02-03,CRND0103-2015-AK_Deadhorse_3_S.txt,96.9,69.9,86.2
57141-02-04,CRND0103-2015-AK_Deadhorse_3_S.txt,92.6,66.3,84.2
57141-02-05,CRND0103-2015-AK_Deadhorse_3_S.txt,100,64.7,82.9
57141-02-06,CRND0103-2015-AK_Deadhorse_3_S.txt,100,84.2,95.1
57141-02-07,CRND0103-2015-AK_Deadhorse_3_S.txt,98,88.7,94.4
57141-04-18,CRND0103-2015-AK_Deadhorse_3_S.txt,96.2,70.8,86.2
57141-04-19,CRND0103-2015-AK_Deadhorse_3_S.txt,98.6,51.4,77.7
57141-04-20,CRND0103-2015-AK_Deadhorse_3_S.txt,99.9,88.5,96.7
57141-04-21,CRND0103-2015-AK_Deadhorse_3_S.txt,99.4,87.6,94.4
57141-04-22,CRND0103-2015-AK_Deadhorse_3_S.txt,100,87.4,98.4
57141-04-23,CRND0103-2015-AK_Deadhorse_3_S.txt,100,88.8,97.9
57141-04-24,CRND0103-2015-AK_Deadhorse_3_S.txt,100,83.7,95.6
57141-04-25,CRND0103-2015-AK_Deadhorse_3_S.txt,99.2,81.2,93.9
57141-04-26,CRND0103-2015-AK_Deadhorse_3_S.txt,96.8,77.8,86.2
57141-04-27,CRND0103-2015-AK_Deadhorse_3_S.txt,NA,NA,NA
57141-04-28,CRND0103-2015-AK_Deadhorse_3_S.txt,NA,NA,NA
57141-04-29,CRND0103-2015-AK_Deadhorse_3_S.txt,NA,NA,NA
57141-04-30,CRND0103-2015-AK_Deadhorse_3_S.txt,NA,NA,NA
57141-05-01,CRND0103-2015-AK_Deadhorse_3_S.txt,NA,NA,NA
57141-05-02,CRND0103-2015-AK_Deadhorse_3_S.txt,NA,NA,NA
57141-05-03,CRND0103-2015-AK_Deadhorse_3_S.txt,NA,NA,NA
57141-05-04,CRND0103-2015-AK_Deadhorse_3_S.txt,NA,NA,NA
57141-05-05,CRND0103-2015-AK_Deadhorse_3_S.txt,NA,NA,NA
57141-05-06,CRND0103-2015-AK_Deadhorse_3_S.txt,98.8,79.2,89.1
57141-05-07,CRND0103-2015-AK_Deadhorse_3_S.txt,93.2,74.9,84.3
57141-05-08,CRND0103-2015-AK_Deadhorse_3_S.txt,97.8,82.2,91.2
57141-05-09,CRND0103-2015-AK_Deadhorse_3_S.txt,99.2,79.5,90.4
57141-05-10,CRND0103-2015-AK_Deadhorse_3_S.txt,98.3,81.6,91.7
57141-05-11,CRND0103-2015-AK_Deadhorse_3_S.txt,95.8,62.4,82.8
57141-05-12,CRND0103-2015-AK_Deadhorse_3_S.txt,99.6,70.7,87.8
57141-05-13,CRND0103-2015-AK_Deadhorse_3_S.txt,100,87.7,94.6
57141-05-14,CRND0103-2015-AK_Deadhorse_3_S.txt,100,94.5,96.6
57141-05-15,CRND0103-2015-AK_Deadhorse_3_S.txt,100,93.3,96.6
57141-05-16,CRND0103-2015-AK_Deadhorse_3_S.txt,94.2,86.8,90.6
57141-05-17,CRND0103-2015-AK_Deadhorse_3_S.txt,98.6,82.3,90.2
57141-07-27,CRND0103-2015-AK_Deadhorse_3_S.txt,92,76.1,86.8
57141-07-28,CRND0103-2015-AK_Deadhorse_3_S.txt,97.2,75.9,87.9
57141-07-29,CRND0103-2015-AK_Deadhorse_3_S.txt,100,90,96
57141-07-30,CRND0103-2015-AK_Deadhorse_3_S.txt,100,93.3,96.5
57141-07-31,CRND0103-2015-AK_Deadhorse_3_S.txt,98.4,87.7,92.6
57141-08-01,CRND0103-2015-AK_Deadhorse_3_S.txt,95.9,80,86.7
57141-08-02,CRND0103-2015-AK_Deadhorse_3_S.txt,96.3,83.4,89.3
57141-08-03,CRND0103-2015-AK_Deadhorse_3_S.txt,95.9,83.8,87.6
57141-08-04,CRND0103-2015-AK_Deadhorse_3_S.txt,92.3,84.7,88.7
57141-08-05,CRND0103-2015-AK_Deadhorse_3_S.txt,92,77.6,82.7
57141-08-06,CRND0103-2015-AK_Deadhorse_3_S.txt,92,78.6,86.4
57141-08-07,CRND0103-2015-AK_Deadhorse_3_S.txt,92.2,84.8,88.7
57141-08-08,CRND0103-2015-AK_Deadhorse_3_S.txt,95.2,85,91
57141-08-09,CRND0103-2015-AK_Deadhorse_3_S.txt,96,86.6,89.9
57141-08-10,CRND0103-2015-AK_Deadhorse_3_S.txt,95.7,81.9,87.9
57141-08-11,CRND0103-2015-AK_Deadhorse_3_S.txt,96.4,84.7,91.4
57141-08-12,CRND0103-2015-AK_Deadhorse_3_S.txt,93.7,81.9,86.4
57141-08-13,CRND0103-2015-AK_Deadhorse_3_S.txt,97.7,82.3,89.4
57141-08-14,CRND0103-2015-AK_Deadhorse_3_S.txt,97.5,78.7,86.8
57141-08-15,CRND0103-2015-AK_Deadhorse_3_S.txt,96,81.5,88.9
57141-08-16,CRND0103-2015-AK_Deadhorse_3_S.txt,96.4,83.7,90
57141-08-17,CRND0103-2015-AK_Deadhorse_3_S.txt,94.3,80.7,87.6
57141-08-18,CRND0103-2015-AK_Deadhorse_3_S.txt,88.4,81.6,84.7
57141-08-19,CRND0103-2015-AK_Deadhorse_3_S.txt,90.9,82.8,86.2
57141-08-20,CRND0103-2015-AK_Deadhorse_3_S.txt,97.8,82.5,88.7
57141-08-21,CRND0103-2015-AK_Deadhorse_3_S.txt,97.7,85.7,93.2
57141-08-22,CRND0103-2015-AK_Deadhorse_3_S.txt,97.3,86.3,92.2
57141-08-23,CRND0103-2015-AK_Deadhorse_3_S.txt,94.3,81.6,88
57141-08-24,CRND0103-2015-AK_Deadhorse_3_S.txt,93.6,90.8,92.1
57141-08-25,CRND0103-2015-AK_Deadhorse_3_S.txt,91.6,79.3,86.5
57141-08-26,CRND0103-2015-AK_Deadhorse_3_S.txt,89.4,71.8,78.8
57141-11-04,CRND0103-2015-AK_Deadhorse_3_S.txt,89.2,72.1,82.5
57141-11-05,CRND0103-2015-AK_Deadhorse_3_S.txt,92.7,88.8,91.2
57141-11-06,CRND0103-2015-AK_Deadhorse_3_S.txt,93.2,88.1,90.5
57141-11-07,CRND0103-2015-AK_Deadhorse_3_S.txt,92.3,80.4,86.5
57141-11-08,CRND0103-2015-AK_Deadhorse_3_S.txt,95.9,77.8,89.3
57141-11-09,CRND0103-2015-AK_Deadhorse_3_S.txt,94.4,82,91.6
57141-11-10,CRND0103-2015-AK_Deadhorse_3_S.txt,94.2,85.1,91.4
57141-11-11,CRND0103-2015-AK_Deadhorse_3_S.txt,91.1,84,86.9
57141-11-12,CRND0103-2015-AK_Deadhorse_3_S.txt,90.5,74.3,84.7
57141-11-13,CRND0103-2015-AK_Deadhorse_3_S.txt,87,74.1,80.6
57141-11-14,CRND0103-2015-AK_Deadhorse_3_S.txt,NA,NA,NA
57141-11-15,CRND0103-2015-AK_Deadhorse_3_S.txt,NA,NA,NA
